YEAR,MONTH,BENE_GEO_LVL,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_COUNTY_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,AGED_TOT_BENES,AGED_ESRD_BENES,AGED_NO_ESRD_BENES,DSBLD_TOT_BENES,DSBLD_ESRD_AND_ESRD_ONLY_BENES,DSBLD_NO_ESRD_BENES,MALE_TOT_BENES,FEMALE_TOT_BENES,WHITE_TOT_BENES,BLACK_TOT_BENES,API_TOT_BENES,HSPNC_TOT_BENES,NATIND_TOT_BENES,OTHR_TOT_BENES,AGE_LT_25_BENES,AGE_25_TO_44_BENES,AGE_45_TO_64_BENES,AGE_65_TO_69_BENES,AGE_70_TO_74_BENES,AGE_75_TO_79_BENES,AGE_80_TO_84_BENES,AGE_85_TO_89_BENES,AGE_90_TO_94_BENES,AGE_GT_94_BENES,DUAL_TOT_BENES,FULL_DUAL_TOT_BENES,PART_DUAL_TOT_BENES,NODUAL_TOT_BENES,A_B_TOT_BENES,A_B_ORGNL_MDCR_BENES,A_B_MA_AND_OTH_BENES,A_TOT_BENES,A_ORGNL_MDCR_BENES,A_MA_AND_OTH_BENES,B_TOT_BENES,B_ORGNL_MDCR_BENES,B_MA_AND_OTH_BENES,PRSCRPTN_DRUG_TOT_BENES,PRSCRPTN_DRUG_PDP_BENES,PRSCRPTN_DRUG_MAPD_BENES,PRSCRPTN_DRUG_DEEMED_ELIGIBLE_FULL_LIS_BENES,PRSCRPTN_DRUG_FULL_LIS_BENES,PRSCRPTN_DRUG_PARTIAL_LIS_BENES,PRSCRPTN_DRUG_NO_LIS_BENES
2013,Year,County,AL,Alabama,Lawrence County,01079,7180.0,6543.0,637.0,5309.0,25.0,5284.0,1872.0,30.0,1841.0,3401.0,3779.0,6187.0,920.0,*,25.0,*,35.0,15.0,335.0,1522.0,1710.0,1496.0,971.0,634.0,316.0,142.0,40.0,1654.0,726.0,928.0,5526.0,6810.0,6173.0,637.0,7136.0,6499.0,637.0,6854.0,6217.0,637.0,5296.0,4751.0,545.0,1692.0,299.0,105.0,3200.0
2013,Year,County,AL,Alabama,Lee County,01081,18777.0,16526.0,2251.0,14195.0,82.0,14113.0,4582.0,135.0,4447.0,8609.0,10168.0,13461.0,4873.0,154.0,149.0,13.0,127.0,75.0,986.0,3521.0,4857.0,3669.0,2440.0,1693.0,944.0,439.0,153.0,3427.0,1558.0,1869.0,15350.0,17302.0,15054.0,2249.0,18662.0,16413.0,2249.0,17417.0,15167.0,2251.0,11998.0,9852.0,2147.0,3499.0,656.0,199.0,7644.0
2013,Year,County,AL,Alabama,Limestone County,01083,14717.0,12295.0,2422.0,11627.0,61.0,11566.0,3090.0,64.0,3026.0,6705.0,8013.0,12910.0,1562.0,54.0,99.0,13.0,80.0,37.0,664.0,2390.0,3827.0,3022.0,2162.0,1406.0,774.0,333.0,104.0,2752.0,1124.0,1628.0,11966.0,13676.0,11255.0,2421.0,14654.0,12233.0,2421.0,13739.0,11317.0,2422.0,9988.0,7826.0,2162.0,2802.0,440.0,165.0,6582.0
2013,Year,County,AL,Alabama,Lowndes County,01085,2574.0,1603.0,971.0,1758.0,21.0,1737.0,816.0,37.0,780.0,1197.0,1377.0,777.0,1776.0,*,*,0.0,17.0,*,*,623.0,562.0,458.0,324.0,205.0,122.0,65.0,23.0,1030.0,475.0,556.0,1544.0,2418.0,1447.0,971.0,2542.0,1571.0,971.0,2450.0,1479.0,971.0,2074.0,1117.0,957.0,1055.0,109.0,46.0,865.0
2013,Year,County,AL,Alabama,Macon County,01087,4230.0,3301.0,930.0,3147.0,45.0,3102.0,1084.0,49.0,1035.0,1898.0,2333.0,942.0,3257.0,*,*,*,17.0,24.0,197.0,862.0,984.0,792.0,503.0,385.0,258.0,140.0,85.0,1238.0,632.0,606.0,2992.0,3732.0,2803.0,929.0,4162.0,3233.0,929.0,3801.0,2871.0,930.0,2725.0,1818.0,907.0,1259.0,168.0,47.0,1251.0
2013,Year,County,AL,Alabama,Madison County,01089,54165.0,46997.0,7167.0,45138.0,244.0,44894.0,9027.0,308.0,8718.0,23863.0,30302.0,42607.0,9704.0,710.0,537.0,29.0,578.0,121.0,1908.0,6997.0,13640.0,11276.0,8900.0,6099.0,3374.0,1428.0,423.0,7496.0,3408.0,4088.0,46669.0,49067.0,41901.0,7166.0,53851.0,46684.0,7166.0,49381.0,42214.0,7167.0,29272.0,22960.0,6313.0,7729.0,1293.0,381.0,19870.0
2013,Year,County,AL,Alabama,Marengo County,01091,5096.0,4668.0,429.0,3530.0,28.0,3502.0,1566.0,34.0,1533.0,2345.0,2752.0,2500.0,2558.0,*,*,*,23.0,20.0,333.0,1213.0,1062.0,872.0,657.0,470.0,283.0,128.0,59.0,1496.0,799.0,697.0,3600.0,4808.0,4379.0,429.0,5035.0,4607.0,429.0,4869.0,4440.0,429.0,3728.0,3322.0,406.0,1531.0,324.0,52.0,1821.0
2013,Year,County,AL,Alabama,Marion County,01093,6893.0,6147.0,746.0,5187.0,19.0,5168.0,1706.0,24.0,1682.0,3115.0,3778.0,6630.0,216.0,*,19.0,0.0,*,13.0,323.0,1370.0,1516.0,1386.0,1087.0,585.0,418.0,143.0,52.0,1700.0,645.0,1055.0,5193.0,6599.0,5853.0,746.0,6869.0,6124.0,746.0,6622.0,5877.0,746.0,5011.0,4313.0,698.0,1733.0,297.0,113.0,2869.0
2013,Year,County,AL,Alabama,Marshall County,01095,18890.0,16984.0,1906.0,14565.0,59.0,14506.0,4325.0,53.0,4272.0,8472.0,10418.0,18320.0,222.0,37.0,189.0,12.0,110.0,44.0,835.0,3446.0,4548.0,3814.0,2742.0,1905.0,1035.0,419.0,100.0,4158.0,1704.0,2454.0,14732.0,17589.0,15683.0,1906.0,18815.0,16909.0,1906.0,17664.0,15758.0,1906.0,12864.0,11140.0,1724.0,4250.0,664.0,248.0,7703.0
2013,Year,County,AL,Alabama,Mobile County,01097,74129.0,44539.0,29590.0,56661.0,356.0,56305.0,17468.0,586.0,16882.0,33551.0,40578.0,49264.0,23220.0,567.0,556.0,65.0,457.0,212.0,3281.0,13975.0,18165.0,14151.0,10248.0,6922.0,4456.0,2002.0,716.0,16667.0,7231.0,9436.0,57462.0,68717.0,39140.0,29578.0,73505.0,43927.0,29578.0,69341.0,39752.0,29590.0,54665.0,25583.0,29082.0,17137.0,2631.0,834.0,34063.0
2013,Year,County,AL,Alabama,Monroe County,01099,4961.0,4310.0,652.0,3525.0,13.0,3512.0,1437.0,27.0,1410.0,2238.0,2724.0,3032.0,1829.0,13.0,12.0,54.0,21.0,18.0,278.0,1141.0,1068.0,890.0,628.0,482.0,283.0,117.0,57.0,1272.0,609.0,663.0,3689.0,4724.0,4072.0,652.0,4938.0,4286.0,652.0,4747.0,4096.0,652.0,3746.0,3118.0,627.0,1309.0,282.0,82.0,2074.0
2013,Year,County,AL,Alabama,Montgomery County,01101,37669.0,27823.0,9845.0,28505.0,237.0,28268.0,9163.0,348.0,8815.0,16120.0,21549.0,19579.0,17314.0,257.0,182.0,18.0,319.0,156.0,2091.0,6917.0,8698.0,6811.0,5176.0,3807.0,2426.0,1177.0,411.0,9055.0,4162.0,4894.0,28613.0,34367.0,24527.0,9840.0,37428.0,27587.0,9841.0,34608.0,24763.0,9844.0,24710.0,15110.0,9600.0,9221.0,1111.0,323.0,14056.0
